speaker,gender,age,file,text_len,source,license
SSB0393,female,A,aishell3_SSB0393_SSB03930023,8,AISHELL-3,Apache-2.0
SSB0393,female,A,aishell3_SSB0393_SSB03930365,8,AISHELL-3,Apache-2.0
SSB0393,female,A,aishell3_SSB0393_SSB03930162,9,AISHELL-3,Apache-2.0
SSB1837,female,B,aishell3_SSB1837_SSB18370041,8,AISHELL-3,Apache-2.0
SSB1837,female,B,aishell3_SSB1837_SSB18370237,9,AISHELL-3,Apache-2.0
SSB1837,female,B,aishell3_SSB1837_SSB18370313,10,AISHELL-3,Apache-2.0
SSB0578,female,B,aishell3_SSB0578_SSB05780002,8,AISHELL-3,Apache-2.0
SSB0578,female,B,aishell3_SSB0578_SSB05780319,8,AISHELL-3,Apache-2.0
SSB0578,female,B,aishell3_SSB0578_SSB05780060,9,AISHELL-3,Apache-2.0
SSB1161,female,B,aishell3_SSB1161_SSB11610033,8,AISHELL-3,Apache-2.0
SSB1161,female,B,aishell3_SSB1161_SSB11610352,9,AISHELL-3,Apache-2.0
SSB1161,female,B,aishell3_SSB1161_SSB11610436,10,AISHELL-3,Apache-2.0
SSB0016,female,B,aishell3_SSB0016_SSB00160001,8,AISHELL-3,Apache-2.0
SSB0016,female,B,aishell3_SSB0016_SSB00160309,8,AISHELL-3,Apache-2.0
SSB0016,female,B,aishell3_SSB0016_SSB00160126,9,AISHELL-3,Apache-2.0
SSB0588,female,B,aishell3_SSB0588_SSB05880011,8,AISHELL-3,Apache-2.0
SSB0588,female,B,aishell3_SSB0588_SSB05880289,8,AISHELL-3,Apache-2.0
SSB0588,female,B,aishell3_SSB0588_SSB05880031,9,AISHELL-3,Apache-2.0
SSB0380,female,B,aishell3_SSB0380_SSB03800004,8,AISHELL-3,Apache-2.0
SSB0380,female,B,aishell3_SSB0380_SSB03800294,8,AISHELL-3,Apache-2.0
SSB0380,female,B,aishell3_SSB0380_SSB03800046,9,AISHELL-3,Apache-2.0
SSB1125,female,B,aishell3_SSB1125_SSB11250036,8,AISHELL-3,Apache-2.0
SSB1125,female,B,aishell3_SSB1125_SSB11250203,8,AISHELL-3,Apache-2.0
SSB1125,female,B,aishell3_SSB1125_SSB11250458,8,AISHELL-3,Apache-2.0
SSB0668,female,B,aishell3_SSB0668_SSB06680004,8,AISHELL-3,Apache-2.0
SSB0668,female,B,aishell3_SSB0668_SSB06680308,8,AISHELL-3,Apache-2.0
SSB0668,female,B,aishell3_SSB0668_SSB06680087,9,AISHELL-3,Apache-2.0
SSB0395,female,B,aishell3_SSB0395_SSB03950022,8,AISHELL-3,Apache-2.0
SSB0395,female,B,aishell3_SSB0395_SSB03950383,9,AISHELL-3,Apache-2.0
SSB0395,female,B,aishell3_SSB0395_SSB03950371,10,AISHELL-3,Apache-2.0
SSB0415,female,B,aishell3_SSB0415_SSB04150004,8,AISHELL-3,Apache-2.0
SSB0415,female,B,aishell3_SSB0415_SSB04150330,9,AISHELL-3,Apache-2.0
SSB0415,female,B,aishell3_SSB0415_SSB04150261,10,AISHELL-3,Apache-2.0
SSB0686,female,B,aishell3_SSB0686_SSB06860002,8,AISHELL-3,Apache-2.0
SSB0686,female,B,aishell3_SSB0686_SSB06860248,8,AISHELL-3,Apache-2.0
SSB0686,female,B,aishell3_SSB0686_SSB06860035,9,AISHELL-3,Apache-2.0
SSB0366,female,B,aishell3_SSB0366_SSB03660001,8,AISHELL-3,Apache-2.0
SSB0366,female,B,aishell3_SSB0366_SSB03660202,8,AISHELL-3,Apache-2.0
SSB0366,female,B,aishell3_SSB0366_SSB03660397,8,AISHELL-3,Apache-2.0
SSB0762,female,B,aishell3_SSB0762_SSB07620008,8,AISHELL-3,Apache-2.0
SSB0762,female,B,aishell3_SSB0762_SSB07620262,8,AISHELL-3,Apache-2.0
SSB0762,female,B,aishell3_SSB0762_SSB07620002,9,AISHELL-3,Apache-2.0
SSB0632,female,B,aishell3_SSB0632_SSB06320064,8,AISHELL-3,Apache-2.0
SSB0632,female,B,aishell3_SSB0632_SSB06320284,9,AISHELL-3,Apache-2.0
SSB0632,female,B,aishell3_SSB0632_SSB06320340,10,AISHELL-3,Apache-2.0
SSB0534,female,C,aishell3_SSB0534_SSB05340006,8,AISHELL-3,Apache-2.0
SSB0534,female,C,aishell3_SSB0534_SSB05340310,8,AISHELL-3,Apache-2.0
SSB0534,female,C,aishell3_SSB0534_SSB05340152,9,AISHELL-3,Apache-2.0
SSB0666,female,C,aishell3_SSB0666_SSB06660002,8,AISHELL-3,Apache-2.0
SSB0666,female,C,aishell3_SSB0666_SSB06660348,8,AISHELL-3,Apache-2.0
SSB0666,female,C,aishell3_SSB0666_SSB06660091,9,AISHELL-3,Apache-2.0
SSB0599,female,C,aishell3_SSB0599_SSB05990126,8,AISHELL-3,Apache-2.0
SSB0599,female,C,aishell3_SSB0599_SSB05990343,9,AISHELL-3,Apache-2.0
SSB0599,female,C,aishell3_SSB0599_SSB05990294,10,AISHELL-3,Apache-2.0
SSB1828,female,C,aishell3_SSB1828_SSB18280063,8,AISHELL-3,Apache-2.0
SSB1828,female,C,aishell3_SSB1828_SSB18280354,9,AISHELL-3,Apache-2.0
SSB1828,female,C,aishell3_SSB1828_SSB18280212,10,AISHELL-3,Apache-2.0
SSB0341,female,C,aishell3_SSB0341_SSB03410006,8,AISHELL-3,Apache-2.0
SSB0341,female,C,aishell3_SSB0341_SSB03410279,8,AISHELL-3,Apache-2.0
SSB0341,female,C,aishell3_SSB0341_SSB03410152,9,AISHELL-3,Apache-2.0
SSB0614,female,C,aishell3_SSB0614_SSB06140001,8,AISHELL-3,Apache-2.0
SSB0614,female,C,aishell3_SSB0614_SSB06140187,8,AISHELL-3,Apache-2.0
SSB0614,female,C,aishell3_SSB0614_SSB06140439,8,AISHELL-3,Apache-2.0
SSB1625,female,C,aishell3_SSB1625_SSB16250005,8,AISHELL-3,Apache-2.0
SSB1625,female,C,aishell3_SSB1625_SSB16250246,8,AISHELL-3,Apache-2.0
SSB1625,female,C,aishell3_SSB1625_SSB16250505,8,AISHELL-3,Apache-2.0
SSB1366,female,C,aishell3_SSB1366_SSB13660107,8,AISHELL-3,Apache-2.0
SSB1366,female,C,aishell3_SSB1366_SSB13660398,9,AISHELL-3,Apache-2.0
SSB1366,female,C,aishell3_SSB1366_SSB13660346,10,AISHELL-3,Apache-2.0
SSB0011,female,C,aishell3_SSB0011_SSB00110012,8,AISHELL-3,Apache-2.0
SSB0011,female,C,aishell3_SSB0011_SSB00110063,10,AISHELL-3,Apache-2.0
SSB0011,female,C,aishell3_SSB0011_SSB00110046,11,AISHELL-3,Apache-2.0
SSB0288,female,C,aishell3_SSB0288_SSB02880068,8,AISHELL-3,Apache-2.0
SSB0288,female,C,aishell3_SSB0288_SSB02880059,10,AISHELL-3,Apache-2.0
SSB0288,female,C,aishell3_SSB0288_SSB02880112,11,AISHELL-3,Apache-2.0
SSB0539,female,C,aishell3_SSB0539_SSB05390004,8,AISHELL-3,Apache-2.0
SSB0539,female,C,aishell3_SSB0539_SSB05390297,8,AISHELL-3,Apache-2.0
SSB0539,female,C,aishell3_SSB0539_SSB05390121,9,AISHELL-3,Apache-2.0
